,count,mean,std,min,25%,50%,75%,max,missing_pct
load_mw,98138.0,52089.76275110899,11344.196506711249,28744.0,43538.0,50344.634999999995,59656.0,94492.0,0.0
temperature_2m,98138.0,12.294124600052987,7.168818587190819,-8.6,7.2,11.8,17.2,40.7,0.0
relative_humidity_2m,98138.0,75.87300535979946,16.89775739248227,15.0,65.0,80.0,90.0,100.0,0.0
wind_speed_10m,98138.0,12.363290468523914,6.487084232573807,0.0,7.6,11.0,16.1,52.4,0.0
shortwave_radiation,98138.0,137.8909698587703,212.6654706256288,0.0,0.0,6.0,215.0,914.0,0.0
cloud_cover,98138.0,63.97470908312784,39.454030886403544,0.0,24.0,84.0,100.0,100.0,0.0
hour,98138.0,11.502170413091768,6.92197760660828,0.0,6.0,12.0,18.0,23.0,0.0
day_of_week,98138.0,3.000356640648882,2.0002317735557376,0.0,1.0,3.0,5.0,6.0,0.0
month,98138.0,6.437353522590637,3.4756388056761605,1.0,3.0,6.0,9.0,12.0,0.0
is_weekend,98138.0,0.2858933338767857,0.4518411400721426,0.0,0.0,0.0,1.0,1.0,0.0
is_holiday,98138.0,0.02152071572683364,0.14511302179571348,0.0,0.0,0.0,0.0,1.0,0.0
